"","sim_id","true_alpha_game1","fit_alpha_game1","true_alpha_game2","fit_alpha_game2","true_temp_game1","fit_temp_game1","true_temp_game2","fit_temp_game2","true_envy","fit_envy","true_guilt","fit_guilt","neg_log_lik"
"58",58,0.513238366115838,1,0.372438220842741,1,0.974134389054962,0.1,4.66102931234054,0.1,0.672494282480329,0.560225323233754,0.486478252918459,0.01,7.16703789991222
"59",59,0.632539112931117,0.246707234113069,0.274532475792803,1,1.6253317178227,0.492506081637752,2.37437564756256,5.34540136143473,0.63216147152707,1.22238703610472,1.10310659988318,1.17470019972699,27.1146149830129
"60",60,0.751064777891152,0.0759094691870114,0.66710474004969,1,3.51893234539311,0.260066671281145,0.568061076523736,0.1,1.06811016239226,0.882040585274516,1.01956115663052,1.01870868388695,24.5666179621908
"61",61,0.180705560361966,0.0280164019794206,0.16642939440906,1,4.40425511114299,0.567457584356961,0.394874148676172,0.1,0.119361721910536,0.168265767549002,1.46313746762462,1.65693955110084,47.1979979759877
"62",62,0.518598912470043,1,0.376476582656614,0.0876197581135693,1.17448090601247,0.1,4.41987285232171,1.27257934637294,1.38602532958612,1.63719378442363,0.592832666239701,0.777168432796293,44.5687725333291
"63",63,0.566596978669986,0.876667229275841,0.592235870463774,0.849783940401466,0.40838016087655,0.33971406704293,0.49584736363031,0.1,0.436667663510889,0.83198986284485,1.10101811285131,1.30035959219692,15.1734054655625
"64",64,0.331121574221179,0.917646065687838,0.987068146928214,1,3.14107502552215,9.16459508231065,1.0661005231319,0.1,1.03965450124815,5,1.00895780324936,1.08305964154873,35.3730580614814
"65",65,0.524234511209652,1,0.32506128268782,0.452160213341956,4.45580684640445,0.1,4.6197449315805,9.40289647554805,0.0189058450050652,1.66200143176287,0.238298623007722,0.01,45.5664604388715
"66",66,0.138029486406595,0.673133393463899,0.0694986554747447,0.00252909125847637,4.33751386145595,12.3150905190591,3.97428984872531,0.1,0.397673628292978,0.75730904693716,1.07552115723956,1.31456672419466,84.0809448366045
"67",67,0.762648931113072,1,0.863584567173384,1,4.88988560743164,7.66130914503623,1.70124907970894,0.331696537420501,0.835159764625132,0.765774052633049,1.45696818153374,1.33544494390384,34.0668827335996
"68",68,0.826410365775228,0.799698192224946,0.0908512326143682,0.00665946316363769,1.10209961184301,0.1,2.8829331377754,0.243188782304239,1.46823356114328,4.04281872870135,1.35753102251329,1.99998591748515,52.5745502980183
"69",69,0.0972132774582133,0.627067146175917,0.390835808520205,0.022198340330772,2.44092691270635,15,1.06863793700468,0.1,1.74056095350534,5,0.920291841030121,0.779595678480582,62.534024611218
"70",70,0.387879434498027,0.390568026581174,0.17025275696069,0.00710294906705661,4.38264590553008,5.25596592721284,1.76067413445562,0.1,0.96385345607996,1.0819503834268,0.585505429306068,0.669677327913596,83.1282704736637
"71",71,0.51317783200182,1,0.926931915939786,1,4.49215152978431,11.2939219717864,1.73082708308939,1.86456265734575,0.861896194517612,0.88316267489822,1.09227187314536,0.969943916971316,53.1410646540714
"72",72,0.678289704858325,0.219316028711489,0.780947636608034,1,2.80649110111408,0.948662051380905,0.440803777356632,0.1,0.652373167686164,0.190734147966669,0.0696187033317983,0.01,16.0095177811963
"73",73,0.214960417188704,1,0.5995209032204,0.0185507836489375,0.511568898893893,0.0999999999999999,3.06413180802483,0.1,1.99561077542603,1.39161361416328,0.872149025090039,0.901467099689905,42.4482926086083
"74",74,0.819311176659539,0.0647667073848952,0.514255511411466,0.711071762638045,2.80211088987999,0.1,1.15221215195488,0.228756246411936,1.90007069846615,1.60202551224897,1.03145288012456,1.11425379781636,29.4037424204269
"75",75,0.176389967785217,1,0.390549840060994,1,0.617603527242318,0.1,0.905230945139192,0.1,1.23787924647331,4.4620022839969,0.0996121591888368,0.01,8.95879736864028
"76",76,0.824253040552139,1,0.405053650680929,0.264847609727373,1.50391762701329,0.1,4.34975126255304,1.79538504316853,0.290687264408916,0.0741130894101579,0.401884025079198,0.518726809461579,29.1248009947297
