"","sim_id","true_envy","fit_envy","true_guilt","fit_guilt","true_temp","fit_temp","true_sensitivity","fit_sensitivity","true_alpha_MF","fit_alpha_MF","true_alpha_MB","fit_alpha_MB","true_w","fit_w","true_k","fit_k","nll"
"envy42",43,0.349725340907462,1.57265185657307,0.521230161685962,0.01,2.37466533388943,0.1,0.5601382656442,0.814469086063758,0.312505886624567,0.99,0.313164119189605,0.99,0.785695066908374,0,2,1,0
"envy43",44,1.4654265296855,0.01,0.797075147961732,0.01,3.5928815750638,0.1,0.31971279787831,2,0.287720288811252,0.01,0.377054920084774,0.99,0.93769620382227,1,1,2,0
"envy44",45,1.99655969516374,0.01,0.239803158857394,0.01,2.28906974003185,0.0999999999999982,0.53722674210323,0.01,0.0669628470344469,0.99,0.946740322588012,0.01,0.0771123406011611,0,2,1,3.85691478755283e-12
"envy45",46,0.955977781855036,0.01,0.588451061325613,0.01,1.41767427218147,0.713862405968806,1.40714973889058,0.467498455132997,0.10405598344747,0.99,0.11773358959239,0.99,0.121204968774691,1,1,2,1.16437060061545e-09
"envy46",47,1.17473426374141,5.9825454819703,0.729043104604352,0.01,1.79923557075672,0.1,0.330590886513237,0.01,0.374548896797933,0.99,0.59849492690526,0.99,0.741508766775951,0,3,1,0
"envy47",48,1.32878784006461,0.01,0.471453826678917,0.01,4.02031350450125,0.1,1.97675670595141,1.56651610305673,0.645123830498196,0.834079661165088,0.508926978330128,0.0100028579840471,0.296378748491406,0,3,1,1.05589199993423e-06
"envy48",49,1.48452394524124,0.01,0.419342067807447,0.0100217055565165,2.7039359647315,0.1,1.30533122658497,1.11198384475601,0.821218628957868,0.971878966815327,0.472494404823519,0.01,0.110825681360438,0,1,1,1.51526391545912e-09
"envy49",50,1.36787504401058,0.01,0.0983606774359941,0.01,4.38868897038046,0.1,1.42515717426548,2,0.326080869217403,0.99,0.964239932508208,0.99,0.0133710340596735,1,1,2,0
"envy50",51,0.0272505638073198,1.74912053395761,0.414285795276519,0.01,3.05134558677673,0.1,0.470137235692237,1.05778992990809,0.142312308857217,0.281742176493326,0.825292336754501,0.99,0.821814219700173,1,2,1,0
"envy51",52,0.911294738699216,1.04675763706983,0.518988152812235,0.01,3.61670230156742,1.49693602904651,0.81267385965446,1.32981522816353,0.220865385867655,0.511468919473461,0.414053635117598,0.99,0.604463339550421,1,1,2,1.0145824183386e-09
"envy52",53,0.379077636755537,0.01,0.490589098755736,0.01,1.65953023734037,0.1,1.65428648202447,0.131407527027128,0.457660123594105,0.01,0.960284129991196,0.99,0.59389773895964,1,2,1,4.11826128754943e-12
"envy53",54,0.291899422216229,0.01,0.638860048491042,0.01,3.41585645882878,0.1,1.74301658219658,2,0.272661937717348,0.99,0.43901016539894,0.99,0.248272049240768,1,1,2,0
"envy54",55,1.41208634839859,0.01,0.0672179376939312,0.01,2.25606851468328,0.0999999999999999,0.291418734635226,0.01,0.302795014129952,0.99,0.12773959104903,0.0267585339772735,0.296305408934131,0,3,1,7.7027273448523e-13
"envy55",56,1.45406098695472,0.01,0.506704714610241,0.727753390517266,4.39379130336456,0.1,1.43321488832589,0.754817277964163,0.0524137600697577,0.0100005319359155,0.717189048188739,0.535895180459267,0.725771538680419,1,2,1,0.11242953674752
"envy56",57,1.74549444435164,0.533443126332187,0.665051436908543,0.637020505672734,2.68609061068855,0.1,1.89548704470741,0.01,0.786872148392722,0.82464668565514,0.222319619739428,0.99,0.402332309167832,0,1,1,0.578018115145371
"envy57",58,0.131359385710675,0.01,0.841064422600903,0.01,1.4124064422911,0.1,0.650895422124304,2,0.261828431650065,0.99,0.0645249898266047,0.99,0.636964459903538,1,1,2,0
"envy58",59,0.586820399933495,0.01,0.915677412333898,0.0198414591695445,2.7390899310587,0.1,1.7258019776619,0.215997912068288,0.875341203762218,0.01,0.419401208637282,0.719337593672976,0.41312421974726,1,2,1,1.15683707124783e-09
"envy59",60,1.25675470279763,3.08275224456214,0.641547634287272,0.01,4.01838614128064,0.1,0.884303174428642,0.383304620528361,0.447104159062728,0.833042377613276,0.526083669150248,0.01,0.768009113380685,0,3,1,0
"envy60",61,0.3278645356372,0.01,0.0236906452896073,0.01,2.93307078045327,0.1,1.44106714617927,1.49141366774728,0.627886808272451,0.920528422070483,0.964049468114972,0.99,0.35901070619002,0.901042098472439,3,1,3.74233977141348e-12
"envy61",62,1.88869471294107,0.01,0.868884624436032,0.674457017327266,0.143511717533693,0.1,0.912673902136739,1.59783893153276,0.506734957420267,0.823116341964946,0.377520881802775,0.944164255106322,0.57576935691759,0.530277841548662,1,1,1.44097422944133e-09
"envy62",63,0.746940809658263,0.01,0.93964858725667,0.727087506416208,3.23066135807894,0.1,1.30452939086827,0.283790565191554,0.56610209794715,0.77755076785543,0.912308474588208,0.03797688006586,0.594539714511484,0,3,1,1.29567924990508e-07
"envy63",64,0.595261997415218,0.01,0.250837739314884,0.01,0.307127083628438,0.1,0.317988312833477,0.01,0.854726687241346,0.99,0.80419182848651,0.859256223732173,0.878951939521357,0.375235484653872,3,1,0
"envy64",65,1.77317654249026,0.01,0.657616536538117,0.01,4.39398007516284,1.29253887855963,1.69359608394792,2,0.120844101333059,0.99,0.260079645412043,0.99,0.4728811790701,1,1,2,1.06984088269604e-09
"envy65",66,0.224892207912635,0.01,0.271433881497942,0.01,4.7046717918478,0.1,0.200316339947749,2,0.874080781596713,0.01,0.036158441323787,0.99,0.777666342910379,1,1,2,0
"envy66",67,0.746247874335386,0.01,0.498554444012698,0.01,3.24161462767515,0.1,0.717020240542479,1.29479020294821,0.798747878135182,0.99,0.925959981502965,0.99,0.207360667409375,1,1,1,3.54161144855504e-12
"envy67",68,0.945529732482973,3.20773189429427,0.561488099757116,0.01,1.68288683847059,0.1,1.83776357403491,2,0.930417595300823,0.99,0.772940893955529,0.99,0.144616901641712,0,1,1,0
"envy68",69,0.320957600311376,0.01,0.656933879894204,0.252505072288487,1.71284585711546,0.1,1.24303597247694,2,0.121334966421127,0.769804106992578,0.247574420482852,0.594984284205112,0.442968059098348,0.206673650645639,2,1,3.08490588729753e-05
"envy69",70,1.53555961716454,0.041294256023587,0.933950566945132,0.4288584558542,3.02251988002099,0.1,1.17680682490813,0.01,0.834335088306107,0.980043495020898,0.062650780659169,0.99,0.455270471051335,0.625032497618726,1,1,4.5066658839246e-06
"envy70",71,0.142039808619302,0.01,0.924723570602946,0.209871466077476,1.70564253416378,0.1,1.81002515313914,1.28273172855478,0.458347056116909,0.01,0.438491764725186,0.99,0.638002165127546,1,1,1,3.0786484472903e-12
"envy71",72,1.95099899555556,6,0.598863359233364,0.01,1.22452962128446,0.1,0.967697352683172,2,0.865685291774571,0.99,0.333780543701723,0.99,0.725757061969489,1,1,2,0
"envy72",73,0.32736313985195,0.01,0.605977663123049,0.01,4.21191094722599,0.0999999999999999,0.761926711201668,1.14568605488739,0.84313887570519,0.01,0.524156833011657,0.99,0.307850083801895,1,3,1,3.0786484472903e-12
"envy73",74,0.738263603185769,0.622107714628336,0.216592164507601,0.01,0.206331642484292,0.1,1.70044662469998,0.01,0.792732448354363,0.335370021717022,0.523611204787158,0.847343249607993,0.354444773867726,0.926613867493145,1,1,0
"envy74",75,1.54218912213808,0.01,0.706291090426967,0.01,0.265684359217994,0.1,1.61408259879798,0.01,0.184986107461154,0.99,0.771817653439939,0.01,0.255798904690892,0,3,1,3.0786484472903e-12
"envy75",76,0.113388793647755,0.01,0.246450350452214,0.01,2.85942857491318,0.1,1.11592325233622,2,0.337650426831096,0.99,0.80119572982192,0.99,0.744492937810719,1,3,1,5.40256728243838e-12
"envy76",77,0.204297902032267,0.01,0.121677559027448,0.01,3.09046647956129,0.125589484984942,1.813502791957,1.51806000658911,0.771696778931655,0.99,0.469333721036091,0.99,0.952589562395588,0,3,1,9.47724343895823e-10
"envy77",78,1.21771630032454,0.01,0.485531118893996,0.01,2.27335965225939,0.1,0.200965714557096,1.73641985282817,0.857881782362238,0.99,0.531834860397503,0.01,0.317003108561039,0,1,1,0
"envy78",79,0.0551429201359861,0.01,0.244420466425363,0.01,0.559259266708978,0.0999999999999999,0.682865427457727,2,0.885844164607115,0.99,0.377315330998972,0.409116685573697,0.131403144448996,0.350843462814635,2,1,2.0104156127732e-09
"envy79",80,1.1614136082679,0.01,0.0667262658360414,0.01,3.45559617213439,0.1,1.26850628205808,1.20745157720834,0.760918906941079,0.99,0.47523527782876,0.99,0.213045654585585,8.87439962180394e-13,2,1,3.84847709256568e-12
"envy80",81,0.982246741275303,0.01,0.205590204510372,0.01,0.685497844126076,0.1,1.23088411522098,0.864424175033833,0.264726850837469,0.909617036521532,0.858660948532634,0.60030172352742,0.920719921588898,0,3,1,0
"envy81",82,1.76198691941565,0.01,0.191837703918573,0.01,2.76374710933305,0.1,0.076743320687674,2,0.701195761077106,0.99,0.462149933660403,0.99,0.829781254054978,0.624883327574897,2,1,3.0786484472903e-12
